variable,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
taken50up,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286,v2286
building,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290,v2290
damaged,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292,v2292
taken50under,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285,v2285
fight,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281,v2281
gang,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282,v2282
hurt,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283,v2283
pos_att,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433,v2433
eq_worth,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434,v2434
wellothers,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435,v2435
satisfied,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436,v2436
notproud,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437,v2437
nogood,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438,v2438
nothingright,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439,v2439
notuseful,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440,v2440